match_id,event_id,map,round_number,round_score,winner,side,win_type
378825,2097,Abyss,13,9-4,team2,attack,Elimination
378825,2097,Abyss,14,9-5,team2,attack,Elimination
378825,2097,Abyss,15,9-6,team2,attack,Elimination
378825,2097,Abyss,16,9-7,team2,attack,Elimination
378825,2097,Abyss,17,10-7,team1,defense,Elimination
378825,2097,Abyss,18,11-7,team1,defense,Elimination
378825,2097,Abyss,19,11-8,team2,attack,Elimination
378825,2097,Abyss,20,11-9,team2,attack,Spike exploded
378825,2097,Abyss,21,11-10,team2,attack,Elimination
378825,2097,Abyss,22,11-11,team2,attack,Elimination
378825,2097,Abyss,23,11-12,team2,attack,Elimination
378825,2097,Abyss,24,12-12,team1,defense,Defused
378825,2097,Abyss,25,13-12,team1,attack,Spike exploded
378825,2097,Abyss,26,14-12,team1,defense,Defused
378667,2097,Bind,1,1-0,team1,defense,Elimination
378667,2097,Bind,2,2-0,team1,defense,Defused
378667,2097,Bind,3,3-0,team1,defense,Time out
378667,2097,Bind,4,4-0,team1,defense,Defused
378667,2097,Bind,5,4-1,team2,attack,Elimination
378667,2097,Bind,6,4-2,team2,attack,Spike exploded
378667,2097,Bind,7,5-2,team1,defense,Defused
378667,2097,Bind,8,5-3,team2,attack,Spike exploded
378667,2097,Bind,9,6-3,team1,defense,Elimination
378667,2097,Bind,10,7-3,team1,defense,Elimination
378667,2097,Bind,11,7-4,team2,attack,Elimination
378667,2097,Bind,12,7-5,team2,attack,Elimination
378667,2097,Bind,13,7-6,team2,defense,Elimination
378667,2097,Bind,14,7-7,team2,defense,Elimination
378667,2097,Bind,15,8-7,team1,attack,Elimination
378667,2097,Bind,16,8-8,team2,defense,Defused
378667,2097,Bind,17,8-9,team2,defense,Elimination
378667,2097,Bind,18,9-9,team1,attack,Spike exploded
378667,2097,Bind,19,9-10,team2,defense,Defused
378667,2097,Bind,20,9-11,team2,defense,Defused
378667,2097,Bind,21,10-11,team1,attack,Elimination
378667,2097,Bind,22,11-11,team1,attack,Spike exploded
378667,2097,Bind,23,12-11,team1,attack,Elimination
378667,2097,Bind,24,13-11,team1,attack,Elimination
378667,2097,Ascent,1,1-0,team1,defense,Defused
378667,2097,Ascent,2,2-0,team1,defense,Elimination
378667,2097,Ascent,3,2-1,team2,attack,Spike exploded
378667,2097,Ascent,4,2-2,team2,attack,Elimination
378667,2097,Ascent,5,2-3,team2,attack,Spike exploded
378667,2097,Ascent,6,3-3,team1,defense,Defused
378667,2097,Ascent,7,4-3,team1,defense,Defused
378667,2097,Ascent,8,4-4,team2,attack,Spike exploded
